processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	coord_verbatim	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	coord_verbatim
GBCMA3492-12	FJ715827	2944551		FJ715827	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.85	104.85	189List																					
GBCMA3493-12	FJ715828	2944552		FJ715828	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.85	104.85	190List																					
GBCMA3494-12	FJ715829	2944553		FJ715829	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.85	104.85	192List																					
GBCMA3495-12	FJ715830	2944554		FJ715830	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	193Anga => Р. Ангара, 60 км от истока, 7 шт								52.6414722222222	"52°29'56.93""N 104°26'14.80""E"												
GBCMA3496-12	FJ715831	2944555		FJ715831	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	194Anga																					
GBCMA3497-12	FJ715832	2944556		FJ715832	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	195Anga																					
GBCMA3498-12	FJ715833	2944557		FJ715833	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	196Anga																					
GBCMA3499-12	FJ715834	2944558		FJ715834	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	198Anga																					
GBCMA3500-12	FJ715835	2944559		FJ715835	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	199Anga																					
GBCMA3501-12	FJ715836	2944560		FJ715836	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2666666666667	104.25	201Anga																					
GBCMA3502-12	FJ715837	2944561		FJ715837	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2333333333333	105.716666666667	163Pesh => 4 шт. => Песчаная???																					
GBCMA3503-12	FJ715838	2944562		FJ715838	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2333333333333	105.716666666667	202Pesh																					
GBCMA3504-12	FJ715839	2944563		FJ715839	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2333333333333	105.716666666667	206Pesh																					
GBCMA3505-12	FJ715840	2944564		FJ715840	Mined from GenBank, NCBI		BOLD:ABW2101	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.2333333333333	105.716666666667	210Pesh																					
